VariableName,Gas:Facility,Electricity:Facility
KeyValue,,
549,4806524517.150756,1996754487.3698428
550,7887057.456077846,1257685070.0252151
551,22566971.815004177,1081385144.6378193
552,43082187.13151004,1043038187.4402797
553,64165292.72594415,1041668912.7207035
554,237940405.3534796,1082499349.0143566
555,528669428.2868408,1112244898.0533392
556,585922977.6784781,1143691506.5112438
557,845283285.7251197,1334346497.6098893
558,5726555476.30412,1554902112.9125862
559,7327324005.430926,1847743707.5551267
560,5478007619.620336,3785135104.9252367
561,4809520252.101311,3651334216.5289073
562,4269338230.4021716,3473897061.345503
563,3993175757.491756,3473157666.200807
564,3999895761.534181,3293652750.6253414
565,3701952582.33558,3472467504.062435
566,3466472789.918955,3471928799.898337
567,3248008753.9913273,3471392619.7289214
568,3189014527.365,3708714296.581111
569,3462303297.3454895,3425996688.5861626
570,4106189172.1011987,2709711232.2620687
571,4683066877.891268,2623231050.7709785
572,5586564362.599181,2087213794.9594388
573,5976624089.012514,2000536278.755403
574,21154751.754465163,1260514833.4406383
575,183618335.4686225,1113868528.3984106
